name,refcount
0ad,1
0ad-data,2
0ad-data-common,2
fonts-dejavu-core,10599
fonts-freefont-ttf,143
fonts-texgyre,3
libboost-filesystem1.74.0,861
libc6,47312
libgcc-s1,47312
gcc-12-base,47320
libstdc++6,24314
libcurl3-gnutls,2358
libbrotli1,14111
libgnutls30,12299
libgmp10,17973
libhogweed6,12372
libnettle8,12481
libidn2-0,12373
libunistring2,12590
libp11-kit0,12377
libffi8,23978
libtasn1-6,12308
libgssapi-krb5-2,20131
libcom-err2,20204
libk5crypto3,20163
libkrb5support0,20164
libkrb5-3,20162
libkeyutils1,20175
libssl3,25128
libldap-2.5-0,6521
libsasl2-2,6816
libsasl2-modules-db,6817
libdb5.3,22602
libnghttp2-14,6142
libpsl5,5912
librtmp1,4908
zlib1g,34114
libssh2-1,5066
libzstd1,18807
libenet7,16
libfmt9,221
libfreetype6,11165
libpng16-16,11816
libgloox18,6
libidn12,574
libicu72,15608
libminiupnpc17,27
libopenal1,523
libopenal-data,524
libsndio7.0,629
libasound2,3759
libasound2-data,3760
libbsd0,15754
libmd0,15767
libsdl2-2.0-0,722
libdecor-0-0,727
libwayland-client0,6378
libdrm2,5743
libdrm-common,5744
libgbm1,4375
libexpat1,18732
libwayland-server0,4394
libpulse0,2039
libasyncns0,2046
libdbus-1-3,9409
libsystemd0,11662
libcap2,12138
libgcrypt20,13355
libgpg-error0,13370
liblz4-1,12461
liblzma5,23506
libsndfile1,2349
libflac12,2435
libogg0,3351
libmp3lame0,2603
libmpg123-0,2573
libopus0,2988
libvorbis0a,3199
libvorbisenc2,2661
libx11-6,12569
libxcb1,12799
libxau6,12815
libxdmcp6,12804
libx11-data,12572
libx11-xcb1,6300
libsamplerate0,1741
libwayland-cursor0,4095
libwayland-egl1,3627
libxcursor1,4523
libxfixes3,7911
libxrender1,10049
libxext6,11737
libxi6,4658
libxkbcommon0,6236
xkb-data,6318
libxrandr2,4730
libxss1,2877
x11-common,8097
lsb-base,9811
sysvinit-utils,9885
libsodium23,1598
libvorbisfile3,1844
libwxbase3.2-1,250
libpcre2-32-0,1046
libwxgtk-gl3.2-1,110
libgl1,4752
libglvnd0,5182
libglx0,5082
libglx-mesa0,5083
libglapi-mesa,5164
libxcb-dri2-0,5167
libxcb-dri3-0,5345
libxcb-glx0,5085
libxcb-present0,5169
libxcb-randr0,5194
libxcb-shm0,9841
libxcb-sync1,5168
libxcb-xfixes0,5183
libxshmfence1,5167
libxxf86vm1,5156
libgl1-mesa-dri,5087
libdrm-amdgpu1,5121
libdrm-intel1,5103
libpciaccess0,5617
libdrm-nouveau2,5103
libdrm-radeon1,5100
libelf1,6412
libllvm15,5164
libedit2,7847
libtinfo6,20799
libxml2,13184
libz3-4,5466
libsensors5,5255
libsensors-config,5256
libglib2.0-0,12575
libmount1,12699
libblkid1,13015
libselinux1,16328
libpcre2-8-0,17135
libgtk-3-0,2687
adwaita-icon-theme,3600
hicolor-icon-theme,3727
gtk-update-icon-cache,3621
libgdk-pixbuf-2.0-0,4583
libgdk-pixbuf2.0-common,4584
shared-mime-info,7513
libjpeg62-turbo,10879
libtiff6,7957
libdeflate0,8040
libjbig0,7960
liblerc4,7960
libwebp7,8169
libatk-bridge2.0-0,2693
libatk1.0-0,3508
at-spi2-common,3510
libatspi2.0-0,2702
libcairo-gobject2,3719
libcairo2,6769
libfontconfig1,10467
fontconfig-config,10469
debconf,19774
libpixman-1-0,6938
libxcb-render0,9106
libcolord2,2813
liblcms2-2,5357
libudev1,9005
libcups2,5487
libavahi-client3,5763
libavahi-common3,5774
libavahi-common-data,5777
libepoxy0,3318
libfribidi0,6540
libharfbuzz0b,9310
libgraphite2-3,9314
libpango-1.0-0,6082
fontconfig,8525
libthai0,6218
libthai-data,6219
libdatrie1,6224
libpangocairo-1.0-0,6048
libpangoft2-1.0-0,6077
libxcomposite1,3794
libxdamage1,3880
libxinerama1,4069
libgtk-3-common,2689
dconf-gsettings-backend,3290
dconf-service,3291
default-dbus-session-bus,3329
libdconf1,3361
procps,4164
libncursesw6,13145
libproc2-0,4180
init-system-helpers,5318
usrmerge,5319
perl,12495
perl-base,13020
perl-modules-5.36,12597
libperl5.36,12596
libbz2-1.0,23949
libcrypt1,23694
libgdbm-compat4,12601
libgdbm6,12791
libfile-find-rule-perl,5470
libnumber-compare-perl,5485
libtext-glob-perl,5490
libwxgtk3.2-1,241
libnotify4,696
libsm6,6533
libice6,6535
libuuid1,15549
libxtst6,1459
0xffff,1
libusb-0.1-4,82
2048,1
2048-qt,1
libgcc1,1785
libqt5core5a,3045
libdouble-conversion3,3613
libpcre2-16-0,4167
libqt5qml5,1370
libqt5network5,2829
libqt5dbus5,2889
qtbase-abi-5-15-8,2952
libqt5widgets5,2358
libqt5gui5,2623
libegl1,3833
libegl-mesa0,3834
