name,refcount
0ad,1
autoconf,17858
debhelper-compat,34228
automake,17850
cargo,1522
debhelper,17819
dpkg-dev,18276
libtest-pod-perl <pkg.debhelper.ci>,17819
man-db <pkg.debhelper.ci>,17819
perl,17819
file,17823
libbz2-dev,17951
liblzma-dev,17863
zlib1g-dev,18424
cpio,17819
texinfo,17819
libncurses5-dev,17897
gettext,17819
bison,17819
flex,17819
help2man,17819
liblocale-gettext-perl,17819
perl-xs-dev,17824
po-debconf,17819
po4a,17845
libmodule-build-perl,18221
dh-autoreconf,17831
flex <cross>,17819
m4,17819
libsigsegv-dev,17819
default-jdk [!hppa !hurd-i386 !kfreebsd-any] <!nojava>,17819
dh-exec,17819
libpipeline-dev,17820
pkg-config,19051
libdpkg-perl,21260
bats <!nocheck>,17819
groff,17819
ghostscript,17849
dh-linktree,17867
dh-sequence-pkgkde-symbolshelper,17856
fonts-urw-base35,17850
t1utils,17851
freeglut3-dev,17872
libcups2-dev [!kfreebsd-any],17849
libcupsimage2-dev [!kfreebsd-any],17849
libexpat-dev,17854
libfontconfig1-dev,17880
libfreetype-dev,17875
libice-dev,17860
libidn11-dev,17857
libijs-dev,17849
libjbig2dec0-dev,17850
libjpeg-dev,17951
liblcms2-dev,17858
libopenjp2-7-dev,17859
libpaper-dev,17852
libpng-dev,18047
libsm-dev,17865
libtiff-dev,17883
libx11-dev,18108
libxext-dev,17950
libxt-dev,17899
rename,17866
gsfonts,17819
libuchardet-dev,17820
libxaw7-dev,17827
libxmu-dev,17844
netpbm,17820
poppler-utils <!nocheck>,17819
psutils,17819
cdbs,17821
x11proto-core-dev,17851
libunistring-dev,17821
libxml2-dev,17999
maven-repo-helper [!hppa !hurd-i386 !kfreebsd-any] <!nojava>,17819
xz-utils,17819
libtool,17819
gfortran,17894
gnulib,17819
bison <!nocheck>,17819
gettext (>= 0.20~) <!nocheck>,17819
gperf <!nocheck>,17819
libltdl-dev <!nocheck>,17819
autopoint,17825
libtext-unidecode-perl,17820
libperl-dev,17823
desktop-file-utils,17824
libpopt-dev,17847
libglib2.0-dev,18016
autotools-dev,17819
libdb-dev,17837
libgdbm-dev,17825
libgdbm-compat-dev,17822
netbase <!nocheck>,17821
procps [!hurd-any] <!nocheck>,17819
dist,17820
libc6-dev (>= 2.19-9) [s390x],17819
rustc,1522
python3,6527
llvm-14-dev,1539
llvm-14-tools,1522
gcc-mingw-w64-x86-64-posix,1522
gcc-mingw-w64-i686-posix,1522
libllvm14,1522
cmake,6572
cmake <cross>,6572
freebsd-glue [kfreebsd-any],6574
libarchive-dev (>= 3.3.3) <!pkg.cmake.bootstrap>,6572
libcurl4-openssl-dev <!pkg.cmake.bootstrap>,6572
libexpat1-dev <!pkg.cmake.bootstrap>,6572
libjsoncpp-dev <!pkg.cmake.bootstrap>,6572
libncurses5-dev <!pkg.cmake.bootstrap !pkg.cmake.nogui>,6572
librhash-dev <!pkg.cmake.bootstrap>,6572
libssl-dev <pkg.cmake.bootstrap>,6572
libuv1-dev (>= 1.10) <!pkg.cmake.bootstrap>,6572
procps [!hurd-any],6572
